ID,IATA,ICAO,name
562,ODH,EGVO,RAF Odiham
563,,EGWC,DCAE Cosford Air Base
564,NHT,EGWU,RAF Northolt
565,QCY,EGXC,RAF Coningsby
566,,EGXD,RAF Dishforth
567,,EGXE,Leeming Airport
568,,EGXG,Leeds East Airport
569,BEQ,EGXH,RAF Honington
570,,EGXJ,RAF Cottesmore
571,SQZ,EGXP,RAF Scampton
572,,EGXT,RAF Wittering
573,HRT,EGXU,RAF Linton-On-Ouse
574,WTN,EGXW,RAF Waddington
575,,EGXZ,RAF Topcliffe
576,,EGYD,RAF Cranwell
577,,EGYE,RAF Barkston Heath
578,KNF,EGYM,RAF Marham
579,MPN,EGYP,Mount Pleasant Airport
580,AMS,EHAM,Amsterdam Airport Schiphol
581,,EHBD,Budel Airfield Kempen
582,MST,EHBK,Maastricht Aachen Airport
583,,EHDL,Deelen Air Base
584,,EHDR,Drachten Airport
585,EIN,EHEH,Eindhoven Airport
586,GRQ,EHGG,Eelde Airport
587,GLZ,EHGR,Gilze Rijen Air Base
588,DHR,EHKD,De Kooy Airport
589,LEY,EHLE,Lelystad Airport
590,LWR,EHLW,Leeuwarden Air Base
591,RTM,EHRD,Rotterdam The Hague Airport
592,UTC,EHSB,Soesterberg Air Base
593,ENS,EHTW,Twente Airport
594,LID,EHVB,Valkenburg Naval Air Base
595,WOE,EHWO,Woensdrecht Air Base
596,ORK,EICK,Cork Airport
597,GWY,EICM,Galway Airport
599,DUB,EIDW,Dublin Airport
600,NOC,EIKN,Ireland West Knock Airport
601,KIR,EIKY,Kerry Airport
602,,EIME,Casement Air Base
603,SNN,EINN,Shannon Airport
604,SXL,EISG,Sligo Airport
605,WAT,EIWF,Waterford Airport
607,AAR,EKAH,Aarhus Airport
608,BLL,EKBI,Billund Airport
609,CPH,EKCH,Copenhagen Kastrup Airport
610,EBJ,EKEB,Esbjerg Airport
611,,EKGH,Grønholt Hillerød Airport
612,KRP,EKKA,Karup Airport
613,BYR,EKLS,Læsø Airport
614,MRW,EKMB,Lolland Falster Maribo Airport
615,ODE,EKOD,Odense Airport
616,,EKPB,Kruså-Padborg Airport
617,RKE,EKRK,Copenhagen Roskilde Airport
618,RNN,EKRN,Bornholm Airport
619,SGD,EKSB,Sønderborg Airport
621,SKS,EKSP,Skrydstrup Air Base
622,SQW,EKSV,Skive Airport
623,TED,EKTS,Thisted Airport
624,,EKVD,Kolding Vamdrup Airfield
625,FAE,EKVG,Vagar Airport
626,,EKVH,Vesthimmerlands Flyveplads
627,STA,EKVJ,Stauning Airport
628,AAL,EKYT,Aalborg Airport
629,LUX,ELLX,Luxembourg-Findel International Airport
630,AES,ENAL,Ålesund Airport
631,ANX,ENAN,Andøya Airport
632,ALF,ENAT,Alta Airport
633,,ENBM,Bømoen Airport
634,BNN,ENBN,Brønnøysund Airport
635,BOO,ENBO,Bodø Airport
636,BGO,ENBR,Bergen Airport Flesland
637,BJF,ENBS,Båtsfjord Airport
638,KRS,ENCN,Kristiansand Airport
639,DLD,ENDI,Geilo Airport Dagali
640,BDU,ENDU,Bardufoss Airport
641,EVE,ENEV,"Harstad/Narvik Airport, Evenes"
642,VDB,ENFG,Leirin Airport
643,FRO,ENFL,Florø Airport
644,OSL,ENGM,Oslo Lufthavn
645,HAU,ENHD,Haugesund Airport
646,HAA,ENHK,Hasvik Airport
647,KSU,ENKB,Kristiansund Airport (Kvernberget)
648,,ENKJ,Kjeller Airport
649,KKN,ENKR,Kirkenes Airport (Høybuktmoen)
650,FAN,ENLI,Lista Airport
651,MOL,ENML,Molde Airport
652,MJF,ENMS,Mosjøen Airport (Kjærstad)
653,LKL,ENNA,Banak Airport
